date,rm,rf,SMB,HML,WML
198607,-4.76,0.38,3.06,-0.54,1.63
198608,14.44,0.38,-7.89,-1.96,2.7
198609,-5.36,0.37,1.14,-0.23,0.57
198610,0.96,0.38,-1.99,2.73,3.16
198611,3.17,0.38,-1.99,-0.44,1.48
198612,-1.42,0.42,0.16,-0.05,0.26
198701,-11.08,0.37,5.82,1.39,-0.15
198702,-5.43,0.31,0.58,2.01,-0.82
198703,3.26,0.33,-3.1,0.28,-1.44
198704,0.34,0.32,-1.57,-0.64,-1.07
198705,-1.22,0.31,-0.07,2.83,-1.51
198706,6.73,0.3,-3.81,-0.33,-1.44
198707,6.64,0.32,-0.84,0.59,-1.75
198708,1.4,0.33,2.9,1.89,-0.84
198709,-2.45,0.33,2.96,2.05,1.57
198710,-21.8,0.33,7.2,4.94,2.5
198711,-12.64,0.3,5.52,8.19,7.8
198712,-1.31,0.31,-1.04,-2.17,1.49
198801,-6.41,0.28,2.7,-0.42,5.97
198802,14.74,0.27,-6.64,-4.73,-10.74
198803,0.16,0.28,5.91,0.95,-3.82
198804,-1.14,0.28,6.37,1.96,2.72
198805,1.68,0.29,-0.86,1.93,-0.04
198806,5.2,0.31,-1.5,1.97,-5.24
198807,3.06,0.39,-2.46,-0.53,-0.74
198808,0.12,0.43,1.22,2.98,0.87
198809,6.26,0.4,-1.76,1.06,-2.6
198810,3.67,0.41,0.51,-0.71,-2.89
198811,-2.9,0.39,1.7,-0.64,2.18
198812,4.48,0.45,0.05,3.38,4.98
198901,1.9,0.46,7.55,3.56,4.05
198902,-1.93,0.48,0.02,-0.73,-1.27
198903,1.95,0.53,1.02,0.86,2.39
198904,3.76,0.51,2.83,5.2,1.23
198905,1.98,0.56,0.95,2.97,3.23
198906,5.61,0.56,-0.96,0.77,0.03
198907,5.16,0.58,-2.65,-2.44,-2.99
198908,3.57,0.58,1.48,-1.53,1.04
198909,0.87,0.6,4.92,-0.69,3.26
198910,-6.6,0.67,2.38,-1.31,-0.33
198911,5.36,0.65,-0.1,4.85,5.33
198912,10.73,0.67,-7.82,2.84,-0.19
199001,2.41,0.67,-1.69,0.8,2.09
199002,-0.74,0.62,-0.04,-0.61,3.97
199003,9.2,0.68,-1.42,2.09,6.06
199004,-6.67,0.66,5.82,1.32,-2.42
199005,1.7,0.68,1.23,0.45,2.96
199006,2.96,0.66,0.63,-1.98,1.58
199007,3.9,0.67,2.05,-1.29,4.66
199008,-14.63,0.68,4.23,-1.74,-5.94
199009,-16.56,0.68,4.35,-2.43,-1.69
199010,8.13,0.69,-3.46,-3.2,4.87
199011,0.6,0.7,-0.59,-1.39,-0.13
199012,-2.72,0.75,2.99,2.23,1.55
199101,-0.51,0.74,-2.98,4.4,-1.03
199102,8.87,0.74,-0.74,1.71,-7.45
199103,-1.8,0.74,2.49,-2.98,-0.67
199104,4.71,0.75,-2.71,1.06,-1.61
199105,4.81,0.74,-1.34,1.6,1.75
199106,-3.34,0.74,1.71,-0.94,2.02
199107,-0.78,0.74,-1.12,0.26,5.69
199108,1.32,0.76,-2.55,-0.58,0.78
199109,-2.59,0.76,1.36,-0.08,1.07
199110,-1.69,0.76,-0.38,-0.26,1.94
199111,-1.42,0.76,0.42,-1.85,2.19
199112,-0.47,0.79,-2.52,1.6,3.26
199201,5.55,0.79,-1.68,1.85,-0.67
199202,3.64,0.8,-0.75,-1.23,-1.51
199203,-1.17,0.8,1.33,1.95,-1.24
199204,0.27,0.81,-0.37,1.89,1.14
199205,3.13,0.81,-0.89,2.79,2.9
199206,-3.35,0.81,-0.52,-2.11,2.92
199207,-7.37,0.81,-0.11,-0.96,1.36
199208,-5.2,0.82,-1.09,-0.19,5.22
199209,-3.37,0.78,0.86,-3.67,2.77
199210,1.21,0.74,-2.13,-1.39,2.1
199211,2.26,0.74,-2.67,-1.88,0.33
199212,-0.6,0.76,-0.07,-0.34,2.04
199301,2.25,0.72,-1.37,2.78,-4.49
199302,6.69,0.71,-0.4,0.33,-7.53
199303,1.5,0.69,0.85,-1.08,-1.11
199304,-2.31,0.68,2.45,-0.61,1.28
199305,0.73,0.64,-0.39,-0.36,5.77
199306,2.05,0.64,-2.15,1.78,-0.91
199307,6.29,0.61,-2.04,2.55,-3.06
199308,6.42,0.56,1.31,2.84,-1.85
199309,-1.44,0.57,-1.17,-0.03,1.55
199310,8.11,0.56,-1.15,-0.61,1.48
199311,-0.29,0.53,1.54,1.32,-0.72
199312,6.74,0.53,-4.47,4.15,-1.88
199401,-1.92,0.51,3.22,1.48,-0.06
199402,-3.01,0.5,3.51,1.13,0.9
199403,1.44,0.49,-0.58,2.24,0.88
199404,4.98,0.47,-1.67,3.79,0.34
199405,-5.18,0.44,2.9,-5.56,-1.72
199406,-2.96,0.42,-0.06,-3.56,-1.18
199407,3.93,0.41,-2.08,1.41,2.07
199408,2.22,0.41,-2.32,-1.61,0.41
199409,-7.01,0.41,1.87,-2.72,-1.93
199410,1.94,0.41,-2.71,1.65,2.94
199411,-1.63,0.42,0.2,0.18,1.22
199412,2.31,0.45,-1.25,0.45,1.36
199501,-3.8,0.42,-0.36,0.18,1.03
199502,3.64,0.41,-3.56,-1.85,1.58
199503,-7.69,0.41,2.16,-2.67,2.75
199504,4.35,0.38,-4.72,-0.23,2.42
199505,3.62,0.38,-2.29,-1.17,-0.27
199506,0.91,0.38,1.34,-3.13,0.56
199507,5,0.38,-4.93,0.08,0.21
199508,0.57,0.37,-0.08,0.04,-1.13
199509,-2.06,0.35,-0.87,-0.59,2.7
199510,-2.29,0.34,-1.86,1.21,4.83
199511,1.89,0.33,-4.1,0.59,5.79
199512,1.96,0.34,-1.3,2.47,1.09
199601,6.58,0.3,-5.79,4.2,1.96
199602,-0.28,0.28,-1.07,0.89,6.49
199603,-0.36,0.28,-1.2,2.82,3.53
199604,-0.12,0.28,0.48,3.12,1.86
199605,2.38,0.28,-0.57,3.21,3.13
199606,2.38,0.28,-2.67,-2.83,1.85
199607,-3.48,0.28,1.08,-2.87,0.87
199608,2.48,0.27,-4.48,0.63,3.7
199609,3.02,0.26,-5.73,1.58,5.28
199610,0,0.26,-1.92,-0.82,3.07
199611,4.8,0.26,-3.85,3.56,1.28
199612,0.76,0.27,-0.92,0.05,-0.5
199701,5.03,0.26,1.43,1.7,-6.64
199702,6.8,0.26,-3.05,1.48,2.89
199703,5.95,0.27,1.71,1.34,-0.9
199704,-0.09,0.27,2,0.43,3.35
199705,4.13,0.26,2.5,1.03,-3.73
199706,6.54,0.26,-0.53,0.12,2.58
199707,12.77,0.26,-5.87,0.78,2.98
199708,-11.12,0.26,5.62,-3,-3.47
199709,1.89,0.26,-3,-0.64,2.62
199710,-4.9,0.28,2.98,-1.32,-2.63
199711,3.69,0.3,-3.91,-1.58,0.72
199712,5.43,0.31,-2.32,-1.52,0.21
199801,5.84,0.29,-1.29,-3.11,2.45
199802,6.38,0.29,-0.26,-0.21,0.13
199803,10.05,0.29,-0.28,1.62,1.68
199804,2.23,0.3,5.06,2.32,1.94
199805,8.88,0.29,-7.55,3.42,4.04
199806,5.33,0.29,-4.54,-5.24,2.44
199807,2.7,0.29,-0.92,-1.2,3.71
199808,-15.35,0.29,5.32,1.01,-2.02
199809,-6.56,0.29,3.06,-1.02,2.42
199810,2.01,0.29,-5.13,1.88,1.92
199811,10.89,0.29,-0.15,-6.96,0.69
199812,-0.41,0.28,-4.67,0.94,1.2
